
=== TestCase8 case8\success\basic-2 Success execution 1 ===
{traceId=f02aa59b0b2d9e11, spanId=f02aa59b0b2d9e11, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516797246950000, }
{traceId=f02aa59b0b2d9e11, spanId=65f587bbafbd923d, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=f02aa59b0b2d9e11, timestamp=1516797246955000, }
{traceId=f02aa59b0b2d9e11, spanId=65f587bbafbd923d, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=f02aa59b0b2d9e11, timestamp=1516797246957000, }
{traceId=f02aa59b0b2d9e11, spanId=65f587bbafbd923d, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=f02aa59b0b2d9e11, timestamp=1516797246962000, }
{traceId=f02aa59b0b2d9e11, spanId=65f587bbafbd923d, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=f02aa59b0b2d9e11, timestamp=1516797246964000, }
{traceId=f02aa59b0b2d9e11, spanId=e2d5d2933e5e57e0, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=f02aa59b0b2d9e11, timestamp=1516797246965000, }
{traceId=f02aa59b0b2d9e11, spanId=e2d5d2933e5e57e0, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=f02aa59b0b2d9e11, timestamp=1516797246968000, }
{traceId=f02aa59b0b2d9e11, spanId=86cb31abba20c0d4, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=e2d5d2933e5e57e0, timestamp=1516797246974000, }
{traceId=f02aa59b0b2d9e11, spanId=86cb31abba20c0d4, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=e2d5d2933e5e57e0, timestamp=1516797246979500, }
{traceId=f02aa59b0b2d9e11, spanId=86cb31abba20c0d4, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=e2d5d2933e5e57e0, timestamp=1516797246988500, }
{traceId=f02aa59b0b2d9e11, spanId=86cb31abba20c0d4, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=e2d5d2933e5e57e0, timestamp=1516797246994000, }
{traceId=f02aa59b0b2d9e11, spanId=b5e602503adab25b, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=e2d5d2933e5e57e0, timestamp=1516797246995000, }
{traceId=f02aa59b0b2d9e11, spanId=b5e602503adab25b, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=e2d5d2933e5e57e0, timestamp=1516797247000500, }
